datatype,network,seed,alpha,dim,final_loss_mean,training_time,total_param,total_ite,test_mse,test_rmse,test_relative,best_test_mse,best_test_rmse,best_test_relative,best_step
poisson,mlp,0,0.2,2,0.00027256947942078114,464.4510290622711,66561,2500,1.1482995e-07,0.00033886568,0.00036239973,1.1482995176947952e-07,0.000338865676894784,0.0003623997326940298,2500
poisson,mlp,0,0.2,2,0.0009595863521099091,124.0333251953125,66561,40000,1.00220705e-05,0.0031657654,0.0033856262,4.102237127767694e-08,0.0002025397989200428,0.00021660610218532383,18000
