datatype,network,seed,alpha,dim,final_loss_mean,training_time,total_param,total_ite,test_mse,test_rmse,test_relative,best_test_mse,best_test_rmse,best_test_relative,best_step
poisson,modifiedmlp,0,0.2,2,9.337728670288925e-07,1393.7565233707428,67329,2500,1.6725326e-09,4.0896608e-05,4.3736854e-05,1.6725325568955896e-09,4.0896607970353216e-05,4.3736854422604665e-05,2500
poisson,modifiedmlp,0,0.2,2,6.484496140046758e-08,278.9466269016266,67329,40000,7.665796e-10,2.7687172e-05,2.9610033e-05,4.301821676655493e-10,2.074083204206545e-05,2.2181275198818184e-05,22000
