datatype,network,seed,alpha,dim,final_loss_mean,training_time,total_param,total_ite,test_mse,test_rmse,test_relative,best_test_mse,best_test_rmse,best_test_relative,best_step
poisson,modifiedsinckan,1,0.2,2,0.39270201325416565,202.91399955749512,160263,2500,0.00014530322,0.012054178,0.012896183,0.00014530321641359478,0.012054177932441235,0.01289618294686079,2500
poisson,modifiedsinckan,1,0.2,2,0.3339170813560486,187.52820897102356,160263,2500,0.0005072762,0.022522792,0.02409605,0.0005072762141935527,0.02252279222011566,0.0240960493683815,2500
poisson,modifiedsinckan,1,0.2,2,1.0083204870170448e-05,414.35274839401245,160263,40000,5.1636757e-09,7.185872e-05,7.687818e-05,5.1636757092410335e-09,7.185871800174937e-05,7.687818288104609e-05,40000
