model,seeds,mean_rmse,std_rmse,mean_relative_l2,std_relative_l2,notes
modifiedmlp_new,3,3.312370033333333e-05,1.09887131403214e-05,3.5440893e-05,1.1751694823166601e-05,final metrics with lr=3e-3
modifiedsinckan_new,3,1.5204882666666666e-04,5.888669446092461e-05,1.6271173666666667e-04,6.305791096042554e-05,final metrics with separate_sigmoid and lr=3e-3
kan_old,3,1.7147543966666667e-03,1.4638578878014333e-03,1.8344263966666666e-03,1.5661008174321792e-03,existing formal results
mlp_new,3,6.548365126666667e-03,6.934244133064647e-03,7.010348326666667e-03,7.425778050909372e-03,final metrics with lr=3e-3
sinckan_old,3,4.127747133333333,3.8120942057280245,4.41664965,4.078121832951824,existing formal results
