datatype,network,seed,final_loss_mean,training_time,total_ite,train_mse,train_rmse,train_relative,test_mse,test_rmse,test_relative
sin_high,modifiedsinckan,0,0.6358042359352112,740.6934559345245,100000,0.009330982,0.09659701,0.13662246,0.009437195,0.09714522,0.13739097
sin_high,modifiedsinckan,0,3.7475016117095947,195.5014352798462,5000,0.06747423,0.25975803,0.36739007,0.06732009,0.25946116,0.36695185
sin_high,modifiedsinckan,0,0.9597747921943665,216.11876797676086,5000,0.021498919,0.14662509,0.20737994,0.021902593,0.14799525,0.20930737
