datatype,network,seed,final_loss_mean,training_time,total_ite,test_mse,test_rmse,test_relative
ode_4d,sinckan,0,0.0763760358095169,1898.1502361297607,10000,0.0014340993,0.0378695,0.1695836
ode_4d,sinckan,0,0.18118691444396973,1484.1712574958801,10000,0.0027823737,0.05274821,0.236212
ode_4d,sinckan,0,0.3371744155883789,775.5620872974396,10000,0.01681787,0.12968373,0.58073723
ode_4d,sinckan,0,0.0648677870631218,304.53582429885864,10000,0.0009848991,0.0313831,0.14053681
